"filename", "language", "C++", "Markdown", "Makefile", "C", "HTML", "JSON with Comments", "Shell Script", "comment", "blank", "total"
"/home/euweb/TinyWebServer/CGImysql/README.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/home/euweb/TinyWebServer/CGImysql/sql_connection_pool.cpp", "C++", 108, 0, 0, 0, 0, 0, 0, 5, 30, 143
"/home/euweb/TinyWebServer/CGImysql/sql_connection_pool.h", "C++", 47, 0, 0, 0, 0, 0, 0, 1, 13, 61
"/home/euweb/TinyWebServer/README.md", "Markdown", 0, 198, 0, 0, 0, 0, 0, 0, 67, 265
"/home/euweb/TinyWebServer/TinyWebServer.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"/home/euweb/TinyWebServer/build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"/home/euweb/TinyWebServer/config.cpp", "C++", 65, 0, 0, 0, 0, 0, 0, 10, 11, 86
"/home/euweb/TinyWebServer/config.h", "C++", 22, 0, 0, 0, 0, 0, 0, 10, 15, 47
"/home/euweb/TinyWebServer/http/README.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/euweb/TinyWebServer/http/http_conn.cpp", "C++", 601, 0, 0, 0, 0, 0, 0, 36, 66, 703
"/home/euweb/TinyWebServer/http/http_conn.h", "C++", 141, 0, 0, 0, 0, 0, 0, 0, 12, 153
"/home/euweb/TinyWebServer/lock/README.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 6, 12
"/home/euweb/TinyWebServer/lock/locker.h", "C++", 104, 0, 0, 0, 0, 0, 0, 6, 6, 116
"/home/euweb/TinyWebServer/log/README.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/euweb/TinyWebServer/log/block_queue.h", "C++", 171, 0, 0, 0, 0, 0, 0, 13, 29, 213
"/home/euweb/TinyWebServer/log/log.cpp", "C++", 134, 0, 0, 0, 0, 0, 0, 6, 25, 165
"/home/euweb/TinyWebServer/log/log.h", "C++", 56, 0, 0, 0, 0, 0, 0, 3, 11, 70
"/home/euweb/TinyWebServer/main.cpp", "C++", 20, 0, 0, 0, 0, 0, 0, 9, 13, 42
"/home/euweb/TinyWebServer/makefile", "Makefile", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/home/euweb/TinyWebServer/root/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/home/euweb/TinyWebServer/root/fans.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"/home/euweb/TinyWebServer/root/judge.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"/home/euweb/TinyWebServer/root/log.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"/home/euweb/TinyWebServer/root/logError.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"/home/euweb/TinyWebServer/root/picture.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"/home/euweb/TinyWebServer/root/register.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"/home/euweb/TinyWebServer/root/registerError.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"/home/euweb/TinyWebServer/root/video.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/home/euweb/TinyWebServer/root/welcome.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"/home/euweb/TinyWebServer/test_pressure/README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 11, 34
"/home/euweb/TinyWebServer/test_pressure/webbench-1.5/Makefile", "Makefile", 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"/home/euweb/TinyWebServer/test_pressure/webbench-1.5/socket.c", "C", 0, 0, 0, 38, 0, 0, 0, 13, 8, 59
"/home/euweb/TinyWebServer/test_pressure/webbench-1.5/webbench.c", "C", 0, 0, 0, 370, 0, 0, 0, 53, 30, 453
"/home/euweb/TinyWebServer/threadpool/README.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 9, 15
"/home/euweb/TinyWebServer/threadpool/threadpool.h", "C++", 146, 0, 0, 0, 0, 0, 0, 2, 5, 153
"/home/euweb/TinyWebServer/webserver.cpp", "C++", 359, 0, 0, 0, 0, 0, 0, 29, 47, 435
"/home/euweb/TinyWebServer/webserver.h", "C++", 64, 0, 0, 0, 0, 0, 0, 5, 14, 83
"Total", "-", 2038, 268, 43, 408, 175, 8, 1, 204, 468, 3613
